level1_code,level1_name,level2_code,level2_name,description,aliases,sort_order
CIS,Computer & Information Sciences,CIS.01,Artificial Intelligence & Machine Learning,Learning systems reasoning and applied intelligent technologies.,artificial intelligence|AI|machine learning|deep learning|neural networks|computer vision|natural language processing|NLP|generative AI|large language models|reinforcement learning|responsible AI|AI ethics,201
CIS,Computer & Information Sciences,CIS.02,Data Science & Analytics,Data engineering analytics and knowledge discovery at scale.,data science|data analytics|big data|data mining|business intelligence|predictive analytics|knowledge graphs|information retrieval,202
CIS,Computer & Information Sciences,CIS.03,Software Engineering & Computing Systems,Software construction algorithms and computing systems.,computer science|software engineering|algorithms|programming languages|operating systems|computer architecture|high performance computing|quantum computing|quantum technology|formal methods|human computer interaction,203
CIS,Computer & Information Sciences,CIS.04,Cybersecurity & Cryptography,Security of systems networks data and cryptographic methods.,cybersecurity|cyber security|information security|cryptography|network security|blockchain|digital forensics|secure systems,204
CIS,Computer & Information Sciences,CIS.05,Networks Cloud & Distributed Computing,Networking cloud edge and distributed infrastructure.,computer networks|cloud computing|edge computing|distributed systems|internet of things|IoT|telecommunications|fog computing,205
PHY,Physical Sciences,,,Physics mathematics and the earth and space sciences as a whole.,physical sciences|natural sciences,300
PHY,Physical Sciences,PHY.01,Physics,Fundamental and applied physics across scales.,physics|condensed matter|quantum physics|optics|particle physics|plasma physics|nuclear physics|applied physics|spectroscopy,301
PHY,Physical Sciences,PHY.02,Astronomy & Space Science,Astronomy astrophysics and space science.,astronomy|astrophysics|space science|cosmology|planetary science|remote sensing|space exploration,302
PHY,Physical Sciences,PHY.03,Mathematics & Statistics,Pure and applied mathematics statistics and operations research.,mathematics|maths|applied mathematics|statistics|design of experiments|probability|operations research|optimization|numerical analysis|mathematical modelling|biostatistics,303
PHY,Physical Sciences,PHY.04,Earth Atmospheric & Ocean Sciences,Earth systems climate atmosphere hydrosphere and geosciences.,earth sciences|geology|geosciences|atmospheric science|climate science|climate change|climate adaptation|meteorology|oceanography|hydrology|water resources|seismology|natural hazards|disaster risk,304
CHE,Chemical Sciences,,,Chemistry and the chemical sciences as a whole.,chemical sciences,400
CHE,Chemical Sciences,CHE.01,Chemistry,Organic inorganic physical and analytical chemistry.,chemistry|organic chemistry|inorganic chemistry|physical chemistry|analytical chemistry|electrochemistry|computational chemistry|green chemistry,401
CHE,Chemical Sciences,CHE.02,Materials Chemistry & Polymers,Chemistry of polymers and functional material systems.,polymer science|polymers|materials chemistry|coatings|colloids|surfactants|biopolymers|sustainable materials,402
LIF,Life & Biological Sciences,,,The life and biological sciences as a whole.,life sciences|biological sciences|biosciences|bio sciences|biology,500
LIF,Life & Biological Sciences,LIF.01,Molecular Biology Genetics & Genomics,Molecular mechanisms genetics genomics and systems biology.,molecular biology|biochemistry|genetics|genomics|proteomics|bioinformatics|computational biology|CRISPR|gene editing|systems biology|epigenetics|cell biology,501
LIF,Life & Biological Sciences,LIF.02,Microbiology & Immunology,Microbial science infection biology and immune systems.,microbiology|immunology|virology|infectious diseases|antimicrobial resistance|vaccines|parasitology|microbiome,502
LIF,Life & Biological Sciences,LIF.03,Biotechnology & Bioengineering,Applied biological systems bioprocesses and biomanufacturing.,biotechnology|bioengineering|synthetic biology|bioprocess|industrial biotechnology|enzyme technology|biomanufacturing|bioremediation|marine biotechnology,503
LIF,Life & Biological Sciences,LIF.04,Ecology Biodiversity & Environmental Science,Ecosystems biodiversity conservation and environmental quality.,ecology|biodiversity|conservation|environmental science|sustainability|wildlife|forestry|pollution|waste management|circular economy|ecosystem services|zoology|botany,504
AGR,Agricultural & Veterinary Sciences,,,Agriculture veterinary and food sciences as a whole.,agricultural sciences|agriculture sciences|agriculture and veterinary|farm sciences,600
AGR,Agricultural & Veterinary Sciences,AGR.01,Crop Science & Agronomy,Crop production agronomy breeding and farming systems.,agriculture|agronomy|crop science|plant breeding|plant science|seed technology|precision agriculture|farming systems|sustainable agriculture|climate smart agriculture,601
AGR,Agricultural & Veterinary Sciences,AGR.02,Horticulture & Plant Protection,Horticultural crops plant pathology and crop protection.,horticulture|plant pathology|plant protection|entomology|pest management|integrated pest management|floriculture|olericulture|pomology,602
AGR,Agricultural & Veterinary Sciences,AGR.03,Soil Water & Agricultural Engineering,Soil science irrigation and agricultural engineering.,soil science|agricultural engineering|irrigation|watershed|agroforestry|farm machinery|land management|soil health,603
AGR,Agricultural & Veterinary Sciences,AGR.04,Animal Dairy & Veterinary Science,Animal husbandry dairy fisheries and veterinary medicine.,animal science|veterinary|animal husbandry|dairy science|poultry|fisheries|aquaculture|livestock|animal nutrition|one health,604
AGR,Agricultural & Veterinary Sciences,AGR.05,Food Science & Post-Harvest Technology,Food processing safety nutrition and food systems.,food science|food technology|food processing|food safety|food systems|nutrition|food security|post harvest technology|dairy technology,605
MED,Medical & Health Sciences,,,Medicine and the health sciences as a whole. Covers a faculty of applied medical or paramedical sciences that names no single speciality.,medical sciences|health sciences|applied medical sciences|paramedical sciences|paramedical|medicine|clinical sciences,700
MED,Medical & Health Sciences,MED.01,Clinical Medicine & Surgery,Clinical practice disease management and surgical science.,clinical research|clinical trials|surgery|cardiology|oncology|cancer|diabetes|paediatrics|internal medicine|dentistry|ophthalmology|radiology|medical imaging,701
MED,Medical & Health Sciences,MED.02,Public Health & Epidemiology,Population health epidemiology and health systems.,public health|epidemiology|global health|health policy|health systems|community health|maternal health|health equity|preventive medicine|digital health|telemedicine|health informatics,702
MED,Medical & Health Sciences,MED.03,Nursing & Allied Health,Nursing rehabilitation and allied health professions.,nursing|allied health|physiotherapy|rehabilitation|occupational therapy|midwifery,703
MED,Medical & Health Sciences,MED.04,Biomedical Engineering & Medical Devices,Engineering applied to medicine diagnostics and devices.,biomedical engineering|medical devices|biomaterials|tissue engineering|regenerative medicine|point of care diagnostics|diagnostics|prosthetics|bioinstrumentation,704
MED,Medical & Health Sciences,MED.05,Mental Health & Neuroscience,Brain science neurology and mental health.,neuroscience|mental health|psychiatry|neurology|cognitive science|brain research|addiction|dementia,705
PHA,Pharmaceutical Sciences,,,Pharmacy and the pharmaceutical sciences as a whole.,pharmacy|pharmaceutical sciences|pharmaceutics and pharmacy,800
PHA,Pharmaceutical Sciences,PHA.01,Pharmaceutics & Drug Delivery,Dosage form design formulation and delivery systems.,pharmaceutics|drug delivery|formulation|nanomedicine|controlled release|biopharmaceutics|pharmaceutical technology,801
PHA,Pharmaceutical Sciences,PHA.02,Pharmacology & Toxicology,Drug action safety and toxicological evaluation.,pharmacology|toxicology|drug discovery|preclinical|pharmacokinetics|pharmacovigilance|clinical pharmacy|pharmacy practice,802
PHA,Pharmaceutical Sciences,PHA.03,Pharmaceutical Chemistry & Pharmacognosy,Medicinal chemistry natural products and pharmaceutical analysis.,pharmaceutical chemistry|medicinal chemistry|drug design|pharmacognosy|natural products|phytochemistry|herbal medicine|ayurveda|traditional medicine|pharmaceutical analysis,803
MGT,Management Business & Economics,,,Business management commerce and economics as a whole.,business|commerce|management sciences|business studies|business administration,900
MGT,Management Business & Economics,MGT.01,Management & Entrepreneurship,Organisational management strategy innovation and enterprise.,management|entrepreneurship|innovation management|startups|operations management|supply chain|human resources|leadership,901
MGT,Management Business & Economics,MGT.02,Finance Accounting & Banking,Financial systems accounting banking and investment.,finance|accounting|banking|financial inclusion|fintech|corporate finance|insurance|auditing|microfinance,902
MGT,Management Business & Economics,MGT.03,Marketing & Consumer Behaviour,Markets consumers branding and commerce.,marketing|consumer behaviour|retail|branding|e-commerce|digital marketing|market research|tourism|hospitality|hotel management,903
MGT,Management Business & Economics,MGT.04,Economics & Public Policy,Economic analysis development economics and policy.,economics|development economics|public policy|econometrics|labour economics|agricultural economics|policy research|rural development|livelihoods,904
SOC,Social Sciences,,,The social and behavioural sciences as a whole.,social sciences|behavioural sciences|behavioral sciences,1000
SOC,Social Sciences,SOC.01,Sociology Anthropology & Development Studies,Society culture social structures and development.,sociology|anthropology|development studies|gender studies|social work|migration|urban studies|rural studies|tribal livelihoods|indigenous communities|community development|social inclusion,1001
SOC,Social Sciences,SOC.02,Psychology & Behavioural Science,Human behaviour cognition and applied psychology.,psychology|cognitive psychology|counselling|organisational behaviour|social psychology,1002
SOC,Social Sciences,SOC.03,Political Science & International Relations,Governance politics international affairs and security studies.,political science|international relations|governance|public administration|diplomacy|peace studies|security studies,1003
LAW,Law & Governance,LAW.01,Law & Legal Studies,Legal systems jurisprudence regulation and rights.,law|legal studies|jurisprudence|human rights|intellectual property|constitutional law|criminal law|corporate law|environmental law|access to justice,1101
HUM,Humanities & Arts,,,Languages history philosophy media and the creative arts as a whole.,humanities|arts|liberal arts|humanities and arts,1200
HUM,Humanities & Arts,HUM.01,Languages Literature & Linguistics,Language literature translation and linguistic science.,linguistics|literature|language studies|modern languages|english studies|translation studies|comparative literature|philology|applied linguistics,1201
HUM,Humanities & Arts,HUM.02,History Philosophy & Culture,Historical philosophical religious and cultural inquiry.,history|philosophy|cultural studies|heritage|archaeology|religious studies|area studies|museum studies,1202
HUM,Humanities & Arts,HUM.03,Media Communication & Performing Arts,Media journalism communication and creative performance.,media studies|journalism|mass communication|film studies|performing arts|music|theatre|visual arts|fine arts|digital media|creative arts,1203
EDU,Education,EDU.01,Education & Pedagogy,Teaching learning curriculum and educational systems.,education|pedagogy|teacher education|curriculum|educational technology|edtech|higher education|learning sciences|skill development|vocational training|literacy,1301
DES,Design & Built Environment,DES.01,Architecture Planning & Design,Architecture urban planning and the design disciplines.,architecture|design|urban planning|urban design|industrial design|product design|interior design|fashion design|landscape architecture|sustainable design|built environment,1401
